Resonance Peak Shift (nm),Concentration (uM),Dissociation Constant (uM^-1),,,,,
0.1001001,1.526417967,0.005,0.1001001,957.7577578,1.526417967,0.011,957.8578579
0.2002002,1.842069969,0.005,0.2002002,957.7577578,1.842069969,0.011,957.957958
0.1001001,2.222996483,0.005,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.005,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.005,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.005,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.005,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.005,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.005,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.005,0,957.957958,8.286427729,0.011,957.957958
0,10,0.005,0,957.957958,10,0.011,957.957958
4.404404404,0.001,0.006,4.404404404,901.2012012,0.001,0.011,905.6056056
5.105105105,0.001206793,0.006,5.105105105,902.4024024,0.001206793,0.011,907.5075075
5.805805806,0.001456348,0.006,5.805805806,903.7037037,0.001456348,0.011,909.5095095
6.506506507,0.001757511,0.006,6.506506507,905.3053053,0.001757511,0.011,911.8118118
7.307307307,0.002120951,0.006,7.307307307,907.007007,0.002120951,0.011,914.3143143
8.008008008,0.002559548,0.006,8.008008008,909.009009,0.002559548,0.011,917.017017
8.608608609,0.003088844,0.006,8.608608609,911.3113113,0.003088844,0.011,919.9199199
9.109109109,0.003727594,0.006,9.109109109,913.7137137,0.003727594,0.011,922.8228228
9.50950951,0.004498433,0.006,9.50950951,916.4164164,0.004498433,0.011,925.9259259
9.80980981,0.005428675,0.006,9.80980981,919.2192192,0.005428675,0.011,929.029029
9.80980981,0.006551286,0.006,9.80980981,922.2222222,0.006551286,0.011,932.032032
9.70970971,0.007906043,0.006,9.70970971,925.2252252,0.007906043,0.011,934.9349349
9.409409409,0.009540955,0.006,9.409409409,928.3283283,0.009540955,0.011,937.7377377
9.009009009,0.011513954,0.006,9.009009009,931.3313313,0.011513954,0.011,940.3403403
8.408408408,0.013894955,0.006,8.408408408,934.3343343,0.013894955,0.011,942.7427427
7.707707708,0.016768329,0.006,7.707707708,937.1371371,0.016768329,0.011,944.8448448
7.007007007,0.020235896,0.006,7.007007007,939.7397397,0.020235896,0.011,946.7467467
6.306306306,0.024420531,0.006,6.306306306,942.1421421,0.024420531,0.011,948.4484484
5.505505506,0.029470517,0.006,5.505505506,944.3443443,0.029470517,0.011,949.8498498
4.804804805,0.035564803,0.006,4.804804805,946.3463463,0.035564803,0.011,951.1511512
4.204204204,0.042919343,0.006,4.204204204,948.048048,0.042919343,0.011,952.2522523
3.603603604,0.051794747,0.006,3.603603604,949.5495495,0.051794747,0.011,953.1531532
3.103103103,0.062505519,0.006,3.103103103,950.8508509,0.062505519,0.011,953.953954
2.602602603,0.075431201,0.006,2.602602603,952.0520521,0.075431201,0.011,954.6546547
2.202202202,0.091029818,0.006,2.202202202,952.952953,0.091029818,0.011,955.1551552
1.901901902,0.109854114,0.006,1.901901902,953.7537538,0.109854114,0.011,955.6556557
1.601601602,0.132571137,0.006,1.601601602,954.4544545,0.132571137,0.011,956.0560561
1.301301301,0.159985872,0.006,1.301301301,955.0550551,0.159985872,0.011,956.3563564
1.101101101,0.193069773,0.006,1.101101101,955.5555556,0.193069773,0.011,956.6566567
0.900900901,0.232995181,0.006,0.900900901,955.955956,0.232995181,0.011,956.8568569
0.700700701,0.28117687,0.006,0.700700701,956.3563564,0.28117687,0.011,957.0570571
0.700700701,0.339322177,0.006,0.700700701,956.5565566,0.339322177,0.011,957.2572573
0.500500501,0.409491506,0.006,0.500500501,956.8568569,0.409491506,0.011,957.3573574
0.4004004,0.494171336,0.006,0.4004004,957.0570571,0.494171336,0.011,957.4574575
0.3003003,0.596362332,0.006,0.3003003,957.2572573,0.596362332,0.011,957.5575576
0.3003003,0.719685673,0.006,0.3003003,957.3573574,0.719685673,0.011,957.6576577
0.3003003,0.868511374,0.006,0.3003003,957.4574575,0.868511374,0.011,957.7577578
0.2002002,1.048113134,0.006,0.2002002,957.5575576,1.048113134,0.011,957.7577578
0.2002002,1.264855217,0.006,0.2002002,957.6576577,1.264855217,0.011,957.8578579
0.1001001,1.526417967,0.006,0.1001001,957.7577578,1.526417967,0.011,957.8578579
0.1001001,1.842069969,0.006,0.1001001,957.7577578,1.842069969,0.011,957.8578579
0.1001001,2.222996483,0.006,0.1001001,957.8578579,2.222996483,0.011,957.957958
0.1001001,2.682695795,0.006,0.1001001,957.8578579,2.682695795,0.011,957.957958
0.1001001,3.237457543,0.006,0.1001001,957.8578579,3.237457543,0.011,957.957958
0.1001001,3.906939937,0.006,0.1001001,957.8578579,3.906939937,0.011,957.957958
0,4.714866363,0.006,0,957.957958,4.714866363,0.011,957.957958
0,5.689866029,0.006,0,957.957958,5.689866029,0.011,957.957958
0,6.86648845,0.006,0,957.957958,6.86648845,0.011,957.957958
0,8.286427729,0.006,0,957.957958,8.286427729,0.011,957.957958
0,10,0.006,0,957.957958,10,0.011,957.957958
3.103103103,0.001,0.007,3.103103103,901.2012012,0.001,0.011,904.3043043
3.503503504,0.001206793,0.007,3.503503504,902.4024024,0.001206793,0.011,905.9059059
4.104104104,0.001456348,0.007,4.104104104,903.7037037,0.001456348,0.011,907.8078078
4.604604605,0.001757511,0.007,4.604604605,905.3053053,0.001757511,0.011,909.9099099
5.205205205,0.002120951,0.007,5.205205205,907.007007,0.002120951,0.011,912.2122122
5.805805806,0.002559548,0.007,5.805805806,909.009009,0.002559548,0.011,914.8148148
6.206206206,0.003088844,0.007,6.206206206,911.3113113,0.003088844,0.011,917.5175175
6.706706707,0.003727594,0.007,6.706706707,913.7137137,0.003727594,0.011,920.4204204
7.007007007,0.004498433,0.007,7.007007007,916.4164164,0.004498433,0.011,923.4234234
7.307307307,0.005428675,0.007,7.307307307,919.2192192,0.005428675,0.011,926.5265265
7.307307307,0.006551286,0.007,7.307307307,922.2222222,0.006551286,0.011,929.5295295
7.407407407,0.007906043,0.007,7.407407407,925.2252252,0.007906043,0.011,932.6326326
7.207207207,0.009540955,0.007,7.207207207,928.3283283,0.009540955,0.011,935.5355355
6.906906907,0.011513954,0.007,6.906906907,931.3313313,0.011513954,0.011,938.2382382
6.406406406,0.013894955,0.007,6.406406406,934.3343343,0.013894955,0.011,940.7407407
6.006006006,0.016768329,0.007,6.006006006,937.1371371,0.016768329,0.011,943.1431431
5.505505506,0.020235896,0.007,5.505505506,939.7397397,0.020235896,0.011,945.2452452
4.904904905,0.024420531,0.007,4.904904905,942.1421421,0.024420531,0.011,947.047047
4.304304304,0.029470517,0.007,4.304304304,944.3443443,0.029470517,0.011,948.6486486
3.803803804,0.035564803,0.007,3.803803804,946.3463463,0.035564803,0.011,950.1501502
3.303303303,0.042919343,0.007,3.303303303,948.048048,0.042919343,0.011,951.3513514
