Angle (deg),Sensitivity (nm/uM),Concentration (uM)
20,0.0418237734760091,3.572198739936128
20,0.029705972249631764,4.310903150256001
20,0.019487381045337017,5.202366196237842
20,0.013598381023325157,6.278177239530645
20,0.009859675137744784,7.5764580892949205
20,0.0064194024286756786,9.14321386427342
30,7027.399658191575,0.0011033963203196644
30,6756.070630804365,0.0013315705590702866
30,6443.105221706623,0.0016069295511780177
30,6085.242448284298,0.001939230756387491
30,5693.665880586758,0.002340249405309863
30,5262.139840287192,0.0028241957595885087
30,4798.168382173823,0.0034082186583962097
30,4312.227925346072,0.004113013194642191
30,3809.366274358892,0.004963554054146652
30,3308.394467081069,0.005989980503959684
30,2816.768137117637,0.007228664389751605
30,2353.912343626724,0.008723498987203822
30,1926.8319820043012,0.010527454378382206
30,1546.7599152558532,0.012704454468497921
30,1218.6490513178846,0.015331642155920724
30,942.6876497095776,0.018502112922680822
30,716.915664455981,0.02232821371136904
30,537.2741804180042,0.026945523985502304
30,397.16288169950553,0.032517660043874685
30,290.10943851517226,0.039242072831759525
30,209.84042913445208,0.04735704469679993
30,150.46684280853492,0.057150133022525904
30,107.13662261510053,0.06896835994314293
30,75.77670556108355,0.08323050921634917
30,53.293361451824445,0.100441965998954
30,37.34681731745005,0.12121262537888333
30,26.1321932740565,0.14627850425980826
30,18.17216214537918,0.17652782242446535
30,12.59361021419819,0.21303247696993108
30,8.76690367309501,0.25708602542448
30,6.046980088420846,0.3102495234934777
30,4.189906673129529,0.37440684171378746
30,2.8767468750036844,0.4518314211852128
30,1.9962819519285955,0.5452668338959238
30,1.3720167664622416,0.6580240023303079
30,0.9514580835190701,0.7940985233762516
30,0.6481070327499786,0.9583122539530187
30,0.4484637722334923,1.1564841755049904
30,0.30738629223653685,1.3956365920152638
30,0.21289480677670575,1.6842439682509731
30,0.14491128890426633,2.032533225926454
30,0.09919626751538034,2.452846138902959
30,0.0692195959334716,2.960076669048684
30,0.04839608073659274,3.572198739936128
30,0.031191270861993744,4.310903150256001
30,0.0233848572544977,5.202366196237842
30,0.015298178651132104,6.278177239530645
30,0.010141380141712375,7.5764580892949205
30,0.007002984467646195,9.14321386427342
40,8164.7822618289465,0.0011033963203196644
40,7847.620832365179,0.0013315705590702866
40,7483.086955080285,0.0016069295511780177
40,7075.786525596077,0.001939230756387491
40,6621.178006256482,0.002340249405309863
40,6125.937892484262,0.0028241957595885087
40,5589.095903276116,0.0034082186583962097
40,5023.667694978931,0.004113013194642191
40,4441.465656152349,0.004963554054146652
40,3856.764858555198,0.005989980503959684
40,3286.229493303882,0.007228664389751605
40,2745.130079564702,0.008723498987203822
40,2247.3624285057144,0.010527454378382206
40,1804.3012370856447,0.012704454468497921
40,1420.3651211556387,0.015331642155920724
40,1098.0719208988671,0.018502112922680822
40,834.7765996925258,0.02232821371136904
40,625.1960940644735,0.026945523985502304
40,461.9455232855873,0.032517660043874685
40,337.1012935727559,0.039242072831759525
40,243.6420446522519,0.04735704469679993
40,174.554982200811,0.057150133022525904
40,124.1262256814525,0.06896835994314293
40,87.7778893859852,0.08323050921634917
40,61.771850773703825,0.100441965998954
40,43.21032046064126,0.12121262537888333
40,30.159264934382147,0.14627850425980826
40,21.00136104226063,0.17652782242446535
40,14.607385594511484,0.21303247696993108
40,10.086920419329212,0.25708602542448
40,6.996335324145941,0.3102495234934777
40,4.8397697489615785,0.37440684171378746
40,3.3302242149053067,0.4518314211852128
40,2.301595662224382,0.5452668338959238
40,1.5860903044917196,0.6580240023303079
40,1.0885325531786167,0.7940985233762516
40,0.7483297697729363,0.9583122539530187
40,0.5204394393822912,1.1564841755049904
40,0.35326484331652613,1.3956365920152638
40,0.2433083506021038,1.6842439682509731
40,0.17011325219178317,2.032533225926454
40,0.11485883607046643,2.452846138902959
